Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
189,University of AberdeenUnited KingdomCoursesEnquire,"11,554",13.6,32%,55:45:00
190,Lomonosov Moscow State UniversityRussian FederationCourses,"29,563",7.4,21%,45:55:00
191,Newcastle UniversityUnited KingdomCoursesEnquireExplore,"20,307",15.6,28%,49:51:00
192,Sant’Anna School of Advanced Studies – PisaItalyCourses,679,13.1,13%,38 : 62
193,Hong Kong Polytechnic UniversityHong KongCoursesExplore,"21,907",25.6,25%,54:46:00
194,University of ReadingUnited KingdomCoursesEnquire,"12,086",13.9,29%,56:44:00
195,University of KonstanzGermanyCourses,"11,335",50.4,12%,54:46:00
196,University of CalgaryCanadaCoursesEnquire,"28,047",16,18%,53:47:00
197,National Taiwan University (NTU)TaiwanCoursesExplore,"31,581",11.6,8%,40 : 60
198,University of Duisburg-EssenGermanyCoursesExplore,"41,002",53,12%,49:51:00
199,Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support,"5,532",13.1,23%,55:45:00
200,Tilburg UniversityNetherlandsCoursesExplore,"7,454",22.4,13%,49:51:00
201,University of Illinois at ChicagoUnited StatesCoursesEnquire,"24,459",11.6,18%,53:47:00
202,Aalborg UniversityDenmarkCoursesExplore,"19,286",17.4,15%,48:52:00
203,Aalto UniversityFinlandCourses,"12,653",20.1,20%,34 : 66
204,University of AntwerpBelgiumCoursesVerify Documents,"16,445",35.8,15%,54:46:00
205,University of BarcelonaSpainCoursesExplore,"47,569",12.5,10%,61:39:00
206,University of BergenNorwayCourses,"11,949",11.5,13%,59:41:00
207,"Birkbeck, University of LondonUnited KingdomCoursesEnquire","9,690",19.5,38%,54:46:00
208,University of BolognaItalyCoursesExplore,"84,486",22.3,7%,56:44:00
209,Boston CollegeUnited StatesCoursesEnquireAdmissions Support,"12,932",16.5,19%,55:45:00
210,CentraleSupélecFranceCourses,"4,130",11.4,32%,0.970833333
211,University of Cincinnati – UptownUnited StatesCoursesEnquire,"27,712",21.9,8%,52:48:00
212,University College DublinIrelandCourses,"21,438",22.7,25%,n/a
